model,method,seed,n,status,path
logreg,lime,999,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_lime\seed_999\n_100\results.json
logreg,lime,999,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_lime\seed_999\n_200\results.json
logreg,shap,42,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_42\n_50\results.json
logreg,shap,42,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_42\n_100\results.json
logreg,shap,42,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_42\n_200\results.json
logreg,shap,123,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_123\n_50\results.json
logreg,shap,123,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_123\n_100\results.json
logreg,shap,123,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_123\n_200\results.json
logreg,shap,456,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_456\n_50\results.json
logreg,shap,456,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_456\n_100\results.json
logreg,shap,456,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_456\n_200\results.json
logreg,shap,789,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_789\n_50\results.json
logreg,shap,789,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_789\n_100\results.json
logreg,shap,789,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_789\n_200\results.json
logreg,shap,999,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_999\n_50\results.json
logreg,shap,999,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_999\n_100\results.json
logreg,shap,999,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\logreg_shap\seed_999\n_200\results.json
mlp,anchors,42,50,empty,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_anchors\seed_42\n_50\results.json
mlp,anchors,42,100,empty,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_anchors\seed_42\n_100\results.json
mlp,anchors,42,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_anchors\seed_42\n_200\results.json
mlp,anchors,123,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_anchors\seed_123\n_50\results.json
mlp,anchors,123,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_anchors\seed_123\n_100\results.json
mlp,anchors,123,200,empty,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_anchors\seed_123\n_200\results.json
mlp,anchors,456,50,empty,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_anchors\seed_456\n_50\results.json
mlp,anchors,456,100,empty,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_anchors\seed_456\n_100\results.json
mlp,anchors,456,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_anchors\seed_456\n_200\results.json
mlp,anchors,789,50,empty,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_anchors\seed_789\n_50\results.json
mlp,anchors,789,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_anchors\seed_789\n_100\results.json
mlp,anchors,789,200,empty,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_anchors\seed_789\n_200\results.json
mlp,anchors,999,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_anchors\seed_999\n_50\results.json
mlp,anchors,999,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_anchors\seed_999\n_100\results.json
mlp,anchors,999,200,empty,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_anchors\seed_999\n_200\results.json
mlp,dice,42,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_dice\seed_42\n_50\results.json
mlp,dice,42,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_dice\seed_42\n_100\results.json
mlp,dice,42,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_dice\seed_42\n_200\results.json
mlp,dice,123,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_dice\seed_123\n_50\results.json
mlp,dice,123,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_dice\seed_123\n_100\results.json
mlp,dice,123,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_dice\seed_123\n_200\results.json
mlp,dice,456,50,empty,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_dice\seed_456\n_50\results.json
mlp,dice,456,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_dice\seed_456\n_100\results.json
mlp,dice,456,200,empty,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_dice\seed_456\n_200\results.json
mlp,dice,789,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_dice\seed_789\n_50\results.json
mlp,dice,789,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_dice\seed_789\n_100\results.json
